tremendamente	adverb	spa	terriblemente	adverb	spa	0	0.84
sistemático	adjective	spa	sistémico	adjective	spa	0	0.84
colapso	noun	spa	desplome	noun	spa	0	0.653333
ladera	noun	spa	costado	noun	spa	0	0.84
compañero	noun	spa	camarada	noun	spa	0	0.746667
vocalista	noun	spa	cantante	noun	spa	0	0.84
caramelo	noun	spa	bombón	noun	spa	0	0.84
explanada	noun	spa	llanura	noun	spa	0	0.746667
explorador	noun	spa	navegador	noun	spa	0	0.653333
arder	verb	spa	abrasar	verb	spa	0	0.98
entretanto	adverb	spa	entre tanto	adverb	spa	0	0.933333
por otra parte	adverb	spa	por otro lado	adverb	spa	0	1
gusto	noun	spa	cata	noun	spa	0	0.6
risotada	noun	spa	carcajada	noun	spa	0	0.84
siquiera	adverb	spa	al menos	adverb	spa	0	1
desgraciado	adjective	spa	desdichado	adjective	spa	0	1
conclusión	noun	spa	final	noun	spa	0	0.746667
localidad	noun	spa	localización	noun	spa	0	0.533333
apear	verb	spa	bajar	verb	spa	0	0.746667
porche	noun	spa	vestíbulo	noun	spa	0	0.533333
galo	noun	spa	francés	noun	spa	0	0.746667
por lo general	adverb	spa	en general	adverb	spa	0	0.98
cola	noun	spa	rabo	noun	spa	0	1
problema	noun	spa	problemática	noun	spa	0	0.746667
encuestar	verb	spa	investigar	verb	spa	0	0.933333
desenroscar	verb	spa	desatornillar	verb	spa	0	0.98
docente	adjective	spa	educativo	adjective	spa	0	0.98
avanzar	verb	spa	progresar	verb	spa	0	0.84
fundamentación	noun	spa	fundación	noun	spa	0	0.84
nieto	noun	spa	sobrino	noun	spa	0	0.98
sospecha	noun	spa	desconfianza	noun	spa	0	0.533333
cient	numeral	spa	millar	numeral	spa	0	1
impulsar	verb	spa	empujar	verb	spa	0	0.84
plazuela	noun	spa	plazoleta	noun	spa	0	0.833333
rama	noun	spa	ramo	noun	spa	0	0.84
trueque	noun	spa	permuta	noun	spa	0	0.533333
viñedo	noun	spa	vid	noun	spa	0	1
entrada	noun	spa	ingreso	noun	spa	0	0.98
un	numeral	spa	uno	numeral	spa	0	1
grieta	noun	spa	hendedura	noun	spa	0	0.84
presupuestación	noun	spa	presupuesto	noun	spa	0	0.98
compañero	noun	spa	acompañante	noun	spa	0	0.98
baya	noun	spa	bahía	noun	spa	0	0.746667
fuerza	noun	spa	pujanza	noun	spa	0	0.84
plano	adjective	spa	liso	adjective	spa	0	0.533333
cuanto antes	adverb	spa	a la mayor brevedad posible	adverb	spa	0	0.746667
feliz	adjective	spa	dichoso	adjective	spa	0	0.98
foráneo	adjective	spa	ajeno	adjective	spa	0	0.533333
boleto	noun	spa	tique	noun	spa	0	1
abono	noun	spa	estiércol	noun	spa	0	0.746667
necropsia	noun	spa	autopsia	noun	spa	0	0.746667
fundación	noun	spa	fundamento	noun	spa	0	0.533333
desleal	adjective	spa	infiel	adjective	spa	0	0.98
longitud	noun	spa	eslora	noun	spa	0	0.98
hoja	noun	spa	cuchilla	noun	spa	0	1
atribuíble	adjective	spa	atribuible	adjective	spa	0	0.666667
liderazgo	noun	spa	liderato	noun	spa	0	1
arriendo	noun	spa	arrendamiento	noun	spa	0	1
conducto	noun	spa	encañado	noun	spa	0	0.933333
sólo	adverb	spa	tan sólo	adverb	spa	0	1
mozo	noun	spa	niño	noun	spa	0	0.533333
abocar	verb	spa	escanciar	verb	spa	0	0.84
logo	noun	spa	logotipo	noun	spa	0	0.84
perno	noun	spa	caracol	noun	spa	0	0.533333
a escape	adverb	spa	a todo gas	adverb	spa	0	0.746667
peleón	adjective	spa	pendenciero	adjective	spa	0	0.84
lucha	noun	spa	pugna	noun	spa	0	1
rodaja	noun	spa	tajada	noun	spa	0	0.84
holandés	adjective	spa	neerlandés	adjective	spa	0	0.84
necesariamente	adverb	spa	forzosamente	adverb	spa	0	0.746667
sujeto	noun	spa	asunto	noun	spa	0	1
